climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
finland_nature_clean,Midnight+sun_people_swimming_pier+-+Mikko+Nikkinen_optimized.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Midnight+sun_people_swimming_pier+-+Mikko+Nikkinen_optimized.jpg,2,#704944,112,73,68,6.82,red,39.29,43.92,35.29,warm,False,15.6816,31309
finland_nature_clean,Paratiisikuru_waterfall.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Paratiisikuru_waterfall.jpeg,1,#645F5E,100,95,94,10.0,red,6.0,39.22,38.04,neutral,True,57.4089,114641
finland_nature_clean,Paratiisikuru_waterfall.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Paratiisikuru_waterfall.jpeg,2,#BCB8B9,188,184,185,345.0,red,2.13,73.73,72.94,neutral,True,30.9026,61710
finland_nature_clean,Paratiisikuru_waterfall.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Paratiisikuru_waterfall.jpeg,3,#7E8557,126,133,87,69.13,yellow,34.59,52.16,43.14,warm,False,11.6885,23341
finland_nature_clean,Snowy+trees+in+Salla+National+Park_+Eeva+Mäkinen_optimized.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Snowy+trees+in+Salla+National+Park_+Eeva+Mäkinen_optimized.jpg,1,#C7BCC3,199,188,195,321.82,magenta,5.53,78.04,75.88,neutral,True,57.3427,114174
finland_nature_clean,Snowy+trees+in+Salla+National+Park_+Eeva+Mäkinen_optimized.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Snowy+trees+in+Salla+National+Park_+Eeva+Mäkinen_optimized.jpg,2,#8F98AC,143,152,172,221.38,cyan-blue,16.86,67.45,61.76,cool,False,42.6573,84934
finland_nature_clean,Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-15-1920x1280.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-15-1920x1280.jpg,1,#8B4B28,139,75,40,21.21,orange,71.22,54.51,35.1,warm,False,96.7314,193129
finland_nature_clean,Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-15-1920x1280.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-15-1920x1280.jpg,2,#F7F0E2,247,240,226,40.0,orange,8.5,96.86,92.75,neutral,True,3.2686,6526
finland_nature_clean,Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,1,#35260E,53,38,14,36.92,orange,73.58,20.78,13.14,warm,False,48.3061,96448
finland_nature_clean,Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Summer-and-midnight-sun-in-Rovaniemi-Lapland-Finland-7.jpg,2,#F0BA63,240,186,99,37.02,orange,58.75,94.12,66.47,warm,False,27.8584,55622
